Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
19-Jun-18,1761.35,1775.2,1752.85,1758.65,1760.4,130,25,228852,65,50,22.35,-2.7
18-Jun-18,1756.6,1773.8,1756.6,1766.65,1765.448649,185,26,326608,131,70.81,17.2,10.05
15-Jun-18,1761.95,1787.95,1760,1774.1,1777.388571,175,37,311043,89,50.86,27.95,12.15
14-Jun-18,1775.85,1780,1748,1760.25,1764.73399,203,29,358241,62,30.54,32,-15.6
13-Jun-18,1773.1,1775,1734.4,1766.4,1761.135135,148,30,260648,71,47.97,40.6,-6.7
12-Jun-18,1771.45,1785.85,1755.15,1777.15,1766.813599,853,131,1507092,351,41.15,30.7,5.7
11-Jun-18,1824.1,1850,1744,1763.25,1792.223499,1915,280,3432108,803,41.93,106,-60.85
8-Jun-18,1836.15,1862.95,1806.8,1846.05,1840.517202,872,127,1604931,262,30.05,56.15,9.9
7-Jun-18,1829.6,1855.25,1810.3,1833.25,1838.306061,660,104,1213282,412,62.42,44.95,3.65
6-Jun-18,1800,1852.45,1800,1829.25,1819.359148,1033,197,1879398,444,42.98,52.45,29.25
5-Jun-18,1760.1,1820,1760.1,1813.75,1807.149046,1362,159,2461337,742,54.48,59.9,53.65
4-Jun-18,1760,1819.9,1760,1799.2,1791.105977,1991,288,3566092,685,34.4,59.9,39.2
1-Jun-18,1719.1,1833.2,1695,1744.95,1746.519625,5860,688,10234605,1271,21.69,138.2,25.85
31-May-18,1890,1890,1680.6,1717.25,1769.056354,11126,1236,19682521,2697,24.24,209.4,-172.75
30-May-18,1647,2014.55,1645.2,1909.1,1905.264181,14350,781,27340541,3249,22.64,369.35,262.1
29-May-18,1761.9,1761.9,1670,1678.8,1692.357027,619,120,1047569,237,38.29,91.9,-83.1
28-May-18,1663.65,1720.05,1663.65,1710.95,1689.728477,453,91,765447,258,56.95,56.4,47.3
25-May-18,1650,1655,1624.9,1643.15,1644.430769,650,101,1068880,386,59.38,30.1,-6.85
24-May-18,1620,1649.25,1611,1639.85,1630.178752,593,91,966696,338,57,38.25,19.85
23-May-18,1639.9,1641,1622,1631.75,1631.425633,632,80,1031061,348,55.06,19,-8.15
22-May-18,1617.9,1641,1616,1636.15,1632.122507,351,85,572875,183,52.14,25,18.25
21-May-18,1701.7,1701.7,1638,1647.75,1673.528223,1683,209,2816548,827,49.14,63.7,-53.95
18-May-18,1705,1706.25,1676.05,1684.1,1694.089264,829,104,1404400,583,70.33,30.2,-20.9
17-May-18,1710,1714.6,1707,1708,1708.744218,735,57,1255927,525,71.43,7.6,-2
16-May-18,1750,1750,1698.05,1705.35,1709.367065,1087,145,1858082,572,52.62,51.95,-44.65
15-May-18,1785.8,1785.8,1728.1,1750.4,1763.949057,1590,203,2804679,993,62.45,57.7,-35.4
14-May-18,1791.95,1796.05,1770,1776.05,1779.552174,460,48,818594,302,65.65,26.05,-15.9
